	timepoint	replicate_id	treatment
201106	11	1	sc
201191	11	1	sc
202118	11	1	sc
202179	11	1	sc
203130	11	1	sc
203167	11	1	sc
204142	11	1	sc
204155	11	1	sc
205143	11	1	sc
205154	11	1	sc
206131	11	1	sc
206166	11	1	sc
207119	11	1	sc
207178	11	1	sc
208107	11	1	sc
208190	11	1	sc
209107	11	1	sc
209190	11	1	sc
210119	11	1	sc
210178	11	1	sc
211131	11	1	sc
211166	11	1	sc
212143	11	1	sc
212154	11	1	sc
213142	11	1	sc
213155	11	1	sc
214130	11	1	sc
214167	11	1	sc
215118	11	1	sc
215179	11	1	sc
216106	11	1	sc
216191	11	1	sc
217108	11	1	sc
217189	11	1	sc
218120	11	1	sc
218177	11	1	sc
219132	11	1	sc
219165	11	1	sc
220144	11	1	sc
220153	11	1	sc
221141	11	1	sc
221156	11	1	sc
222129	11	1	sc
222168	11	1	sc
223117	11	1	sc
223180	11	1	sc
224105	11	1	sc
224192	11	1	sc
225109	11	1	sc
225188	11	1	sc
226121	11	1	sc
226176	11	1	sc
227133	11	1	sc
227164	11	1	sc
228145	11	1	sc
228152	11	1	sc
229140	11	1	sc
229157	11	1	sc
230128	11	1	sc
230169	11	1	sc
231116	11	1	sc
231181	11	1	sc
232104	11	1	sc
232193	11	1	sc
233110	11	1	sc
233187	11	1	sc
234122	11	1	sc
234175	11	1	sc
235134	11	1	sc
235163	11	1	sc
236146	11	1	sc
236151	11	1	sc
237139	11	1	sc
237158	11	1	sc
238127	11	1	sc
238170	11	1	sc
239115	11	1	sc
239182	11	1	sc
240103	11	1	sc
240194	11	1	sc
241111	11	1	sc
241186	11	1	sc
242123	11	1	sc
242174	11	1	sc
243135	11	1	sc
243162	11	1	sc
244147	11	1	sc
244150	11	1	sc
245138	11	1	sc
245159	11	1	sc
246126	11	1	sc
246171	11	1	sc
247114	11	1	sc
247183	11	1	sc
248102	11	1	sc
248195	11	1	sc
249112	11	1	sc
249185	11	1	sc
250124	11	1	sc
250173	11	1	sc
251136	11	1	sc
251161	11	1	sc
252148	11	1	sc
252149	11	1	sc
253137	11	1	sc
253160	11	1	sc
254125	11	1	sc
254172	11	1	sc
255113	11	1	sc
255184	11	1	sc
256101	11	1	sc
256196	11	1	sc
257101	11	1	sc
257196	11	1	sc
258113	11	1	sc
258184	11	1	sc
259125	11	1	sc
259172	11	1	sc
260137	11	1	sc
260160	11	1	sc
261148	11	1	sc
261149	11	1	sc
262136	11	1	sc
262161	11	1	sc
263124	11	1	sc
263173	11	1	sc
264112	11	1	sc
264185	11	1	sc
265102	11	1	sc
265195	11	1	sc
266114	11	1	sc
266183	11	1	sc
267126	11	1	sc
267171	11	1	sc
268138	11	1	sc
268159	11	1	sc
269147	11	1	sc
269150	11	1	sc
270135	11	1	sc
270162	11	1	sc
271123	11	1	sc
271174	11	1	sc
272111	11	1	sc
272186	11	1	sc
273103	11	1	sc
273194	11	1	sc
274115	11	1	sc
274182	11	1	sc
275127	11	1	sc
275170	11	1	sc
276139	11	1	sc
276158	11	1	sc
277146	11	1	sc
277151	11	1	sc
278134	11	1	sc
278163	11	1	sc
279122	11	1	sc
279175	11	1	sc
280110	11	1	sc
280187	11	1	sc
281104	11	1	sc
281193	11	1	sc
282116	11	1	sc
282181	11	1	sc
283128	11	1	sc
283169	11	1	sc
284140	11	1	sc
284157	11	1	sc
285145	11	1	sc
285152	11	1	sc
286133	11	1	sc
286164	11	1	sc
287121	11	1	sc
287176	11	1	sc
288109	11	1	sc
288188	11	1	sc
289105	11	1	sc
289192	11	1	sc
290117	11	1	sc
290180	11	1	sc
291129	11	1	sc
291168	11	1	sc
292141	11	1	sc
292156	11	1	sc
293144	11	1	sc
293153	11	1	sc
294132	11	1	sc
294165	11	1	sc
295120	11	1	sc
295177	11	1	sc
296108	11	1	sc
296189	11	1	sc
201107	11	1	sc
202119	11	1	sc
203131	11	1	sc
204143	11	1	sc
205155	11	1	sc
206167	11	1	sc
207179	11	1	sc
208191	11	1	sc
209108	11	1	sc
210120	11	1	sc
211132	11	1	sc
212144	11	1	sc
213156	11	1	sc
214168	11	1	sc
215180	11	1	sc
216192	11	1	sc
217109	11	1	sc
218121	11	1	sc
219133	11	1	sc
220145	11	1	sc
221157	11	1	sc
222169	11	1	sc
223181	11	1	sc
224193	11	1	sc
226122	11	1	sc
227134	11	1	sc
228146	11	1	sc
229158	11	1	sc
230170	11	1	sc
231182	11	1	sc
232194	11	1	sc
234123	11	1	sc
235135	11	1	sc
236147	11	1	sc
237159	11	1	sc
238171	11	1	sc
239183	11	1	sc
240195	11	1	sc
242124	11	1	sc
243136	11	1	sc
244148	11	1	sc
245160	11	1	sc
246172	11	1	sc
247184	11	1	sc
248196	11	1	sc
249101	11	1	sc
251125	11	1	sc
252137	11	1	sc
253149	11	1	sc
254161	11	1	sc
255173	11	1	sc
256185	11	1	sc
257102	11	1	sc
258114	11	1	sc
259126	11	1	sc
260138	11	1	sc
261150	11	1	sc
262162	11	1	sc
263174	11	1	sc
264186	11	1	sc
265103	11	1	sc
266115	11	1	sc
267127	11	1	sc
268139	11	1	sc
269151	11	1	sc
270163	11	1	sc
271175	11	1	sc
272187	11	1	sc
273104	11	1	sc
274116	11	1	sc
275128	11	1	sc
276140	11	1	sc
277152	11	1	sc
278164	11	1	sc
279176	11	1	sc
280188	11	1	sc
281105	11	1	sc
282117	11	1	sc
283129	11	1	sc
284141	11	1	sc
285153	11	1	sc
286165	11	1	sc
287177	11	1	sc
288189	11	1	sc
289106	11	1	sc
290118	11	1	sc
291130	11	1	sc
292142	11	1	sc
293154	11	1	sc
294166	11	1	sc
295178	11	1	sc
296190	11	1	sc
201108	15	1	sc
201189	15	1	sc
202120	15	1	sc
202177	15	1	sc
203132	15	1	sc
203165	15	1	sc
204144	15	1	sc
204153	15	1	sc
205141	15	1	sc
205156	15	1	sc
206129	15	1	sc
206168	15	1	sc
207117	15	1	sc
207180	15	1	sc
208105	15	1	sc
208192	15	1	sc
209109	15	1	sc
209188	15	1	sc
210121	15	1	sc
210176	15	1	sc
211133	15	1	sc
211164	15	1	sc
212145	15	1	sc
212152	15	1	sc
213140	15	1	sc
213157	15	1	sc
214128	15	1	sc
214169	15	1	sc
215116	15	1	sc
215181	15	1	sc
216104	15	1	sc
216193	15	1	sc
217110	15	1	sc
217187	15	1	sc
218122	15	1	sc
218175	15	1	sc
219134	15	1	sc
219163	15	1	sc
220146	15	1	sc
220151	15	1	sc
221139	15	1	sc
221158	15	1	sc
222127	15	1	sc
222170	15	1	sc
223115	15	1	sc
223182	15	1	sc
224103	15	1	sc
224194	15	1	sc
225111	15	1	sc
225186	15	1	sc
226123	15	1	sc
226174	15	1	sc
227135	15	1	sc
227162	15	1	sc
228147	15	1	sc
228150	15	1	sc
229138	15	1	sc
229159	15	1	sc
230126	15	1	sc
230171	15	1	sc
231114	15	1	sc
231183	15	1	sc
232102	15	1	sc
232195	15	1	sc
233112	15	1	sc
233185	15	1	sc
234124	15	1	sc
234173	15	1	sc
235136	15	1	sc
235161	15	1	sc
236148	15	1	sc
236149	15	1	sc
237137	15	1	sc
237160	15	1	sc
238125	15	1	sc
238172	15	1	sc
239113	15	1	sc
239184	15	1	sc
240101	15	1	sc
240196	15	1	sc
241101	15	1	sc
241196	15	1	sc
242113	15	1	sc
242184	15	1	sc
243125	15	1	sc
243172	15	1	sc
244137	15	1	sc
244160	15	1	sc
245148	15	1	sc
245149	15	1	sc
246136	15	1	sc
246161	15	1	sc
247124	15	1	sc
247173	15	1	sc
248112	15	1	sc
248185	15	1	sc
249102	15	1	sc
249195	15	1	sc
250114	15	1	sc
250183	15	1	sc
251126	15	1	sc
251171	15	1	sc
252138	15	1	sc
252159	15	1	sc
253147	15	1	sc
253150	15	1	sc
254135	15	1	sc
254162	15	1	sc
255123	15	1	sc
255174	15	1	sc
256111	15	1	sc
256186	15	1	sc
257103	15	1	sc
257194	15	1	sc
258115	15	1	sc
258182	15	1	sc
259127	15	1	sc
259170	15	1	sc
260139	15	1	sc
260158	15	1	sc
261146	15	1	sc
261151	15	1	sc
262134	15	1	sc
262163	15	1	sc
263122	15	1	sc
263175	15	1	sc
264110	15	1	sc
264187	15	1	sc
265104	15	1	sc
265193	15	1	sc
266116	15	1	sc
266181	15	1	sc
267128	15	1	sc
267169	15	1	sc
268140	15	1	sc
268157	15	1	sc
269145	15	1	sc
269152	15	1	sc
270133	15	1	sc
270164	15	1	sc
271121	15	1	sc
271176	15	1	sc
272109	15	1	sc
272188	15	1	sc
273105	15	1	sc
273192	15	1	sc
274117	15	1	sc
274180	15	1	sc
275129	15	1	sc
275168	15	1	sc
276141	15	1	sc
276156	15	1	sc
277144	15	1	sc
277153	15	1	sc
278132	15	1	sc
278165	15	1	sc
279120	15	1	sc
279177	15	1	sc
280108	15	1	sc
280189	15	1	sc
281106	15	1	sc
281191	15	1	sc
282118	15	1	sc
282179	15	1	sc
283130	15	1	sc
283167	15	1	sc
284142	15	1	sc
284155	15	1	sc
285143	15	1	sc
285154	15	1	sc
286131	15	1	sc
286166	15	1	sc
287119	15	1	sc
287178	15	1	sc
288107	15	1	sc
288190	15	1	sc
289107	15	1	sc
289190	15	1	sc
290119	15	1	sc
290178	15	1	sc
291131	15	1	sc
291166	15	1	sc
292143	15	1	sc
292154	15	1	sc
293142	15	1	sc
293155	15	1	sc
294130	15	1	sc
294167	15	1	sc
295118	15	1	sc
295179	15	1	sc
296106	15	1	sc
296191	15	1	sc
201190	15	1	sc
202178	15	1	sc
203166	15	1	sc
204154	15	1	sc
205142	15	1	sc
206130	15	1	sc
207118	15	1	sc
208106	15	1	sc
209189	15	1	sc
210177	15	1	sc
211165	15	1	sc
212153	15	1	sc
213141	15	1	sc
214129	15	1	sc
215117	15	1	sc
216105	15	1	sc
217188	15	1	sc
218176	15	1	sc
219164	15	1	sc
220152	15	1	sc
221140	15	1	sc
222128	15	1	sc
223116	15	1	sc
224104	15	1	sc
225187	15	1	sc
226175	15	1	sc
227163	15	1	sc
228151	15	1	sc
229139	15	1	sc
230127	15	1	sc
231115	15	1	sc
232103	15	1	sc
233186	15	1	sc
234174	15	1	sc
235162	15	1	sc
236150	15	1	sc
237138	15	1	sc
238126	15	1	sc
239114	15	1	sc
240102	15	1	sc
241185	15	1	sc
242173	15	1	sc
243161	15	1	sc
244149	15	1	sc
245137	15	1	sc
246125	15	1	sc
247113	15	1	sc
248101	15	1	sc
250113	15	1	sc
252160	15	1	sc
253148	15	1	sc
254136	15	1	sc
255124	15	1	sc
256112	15	1	sc
257195	15	1	sc
258183	15	1	sc
259171	15	1	sc
260159	15	1	sc
261147	15	1	sc
262135	15	1	sc
263123	15	1	sc
264111	15	1	sc
265194	15	1	sc
266182	15	1	sc
267170	15	1	sc
268158	15	1	sc
269146	15	1	sc
270134	15	1	sc
271122	15	1	sc
272110	15	1	sc
273193	15	1	sc
274181	15	1	sc
275169	15	1	sc
276157	15	1	sc
277145	15	1	sc
278133	15	1	sc
279121	15	1	sc
280109	15	1	sc
281192	15	1	sc
282180	15	1	sc
283168	15	1	sc
284156	15	1	sc
285144	15	1	sc
286132	15	1	sc
287120	15	1	sc
288108	15	1	sc
289191	15	1	sc
290179	15	1	sc
291167	15	1	sc
292155	15	1	sc
293143	15	1	sc
294131	15	1	sc
295119	15	1	sc
296107	15	1	sc
P1A1	8	1	sc
P1A10	8	1	sc
P1A11	8	1	sc
P1A12	8	1	sc
P1A2	8	1	sc
P1A3	8	1	sc
P1A4	8	1	sc
P1A5	8	1	sc
P1A6	8	1	sc
P1A7	8	1	sc
P1A8	8	1	sc
P1A9	8	1	sc
P1B1	8	1	sc
P1B10	8	1	sc
P1B11	8	1	sc
P1B12	8	1	sc
P1B2	8	1	sc
P1B3	8	1	sc
P1B4	8	1	sc
P1B5	8	1	sc
P1B6	8	1	sc
P1B7	8	1	sc
P1B8	8	1	sc
P1B9	8	1	sc
P1C1	8	1	sc
P1C10	8	1	sc
P1C11	8	1	sc
P1C12	8	1	sc
P1C2	8	1	sc
P1C3	8	1	sc
P1C4	8	1	sc
P1C5	8	1	sc
P1C6	8	1	sc
P1C7	8	1	sc
P1C8	8	1	sc
P1C9	8	1	sc
P1D1	8	1	sc
P1D10	8	1	sc
P1D11	8	1	sc
P1D12	8	1	sc
P1D2	8	1	sc
P1D3	8	1	sc
P1D4	8	1	sc
P1D5	8	1	sc
P1D6	8	1	sc
P1D7	8	1	sc
P1D8	8	1	sc
P1D9	8	1	sc
P1E1	8	1	sc
P1E10	8	1	sc
P1E11	8	1	sc
P1E12	8	1	sc
P1E2	8	1	sc
P1E3	8	1	sc
P1E4	8	1	sc
P1E5	8	1	sc
P1E6	8	1	sc
P1E7	8	1	sc
P1E8	8	1	sc
P1E9	8	1	sc
P1F1	8	1	sc
P1F10	8	1	sc
P1F11	8	1	sc
P1F12	8	1	sc
P1F2	8	1	sc
P1F3	8	1	sc
P1F4	8	1	sc
P1F5	8	1	sc
P1F6	8	1	sc
P1F7	8	1	sc
P1F8	8	1	sc
P1F9	8	1	sc
P1G1	8	1	sc
P1G10	8	1	sc
P1G11	8	1	sc
P1G12	8	1	sc
P1G2	8	1	sc
P1G3	8	1	sc
P1G4	8	1	sc
P1G5	8	1	sc
P1G6	8	1	sc
P1G7	8	1	sc
P1G8	8	1	sc
P1G9	8	1	sc
P1H1	8	1	sc
P1H10	8	1	sc
P1H11	8	1	sc
P1H12	8	1	sc
P1H2	8	1	sc
P1H3	8	1	sc
P1H4	8	1	sc
P1H5	8	1	sc
P1H6	8	1	sc
P1H7	8	1	sc
P1H8	8	1	sc
P1H9	8	1	sc
P2A1	8	1	sc
P2A10	8	1	sc
P2A11	8	1	sc
P2A12	8	1	sc
P2A2	8	1	sc
P2A3	8	1	sc
P2A4	8	1	sc
P2A5	8	1	sc
P2A6	8	1	sc
P2A7	8	1	sc
P2A8	8	1	sc
P2A9	8	1	sc
P2B1	8	1	sc
P2B10	8	1	sc
P2B11	8	1	sc
P2B12	8	1	sc
P2B2	8	1	sc
P2B3	8	1	sc
P2B4	8	1	sc
P2B5	8	1	sc
P2B6	8	1	sc
P2B7	8	1	sc
P2B8	8	1	sc
P2B9	8	1	sc
P2C1	8	1	sc
P2C10	8	1	sc
P2C11	8	1	sc
P2C12	8	1	sc
P2C2	8	1	sc
P2C3	8	1	sc
P2C4	8	1	sc
P2C5	8	1	sc
P2C6	8	1	sc
P2C7	8	1	sc
P2C8	8	1	sc
P2C9	8	1	sc
P2D1	8	1	sc
P2D10	8	1	sc
P2D11	8	1	sc
P2D12	8	1	sc
P2D2	8	1	sc
P2D3	8	1	sc
P2D4	8	1	sc
P2D5	8	1	sc
P2D6	8	1	sc
P2D7	8	1	sc
P2D8	8	1	sc
P2D9	8	1	sc
P2E1	8	1	sc
P2E10	8	1	sc
P2E11	8	1	sc
P2E12	8	1	sc
P2E2	8	1	sc
P2E3	8	1	sc
P2E4	8	1	sc
P2E5	8	1	sc
P2E6	8	1	sc
P2E7	8	1	sc
P2E8	8	1	sc
P2E9	8	1	sc
P2F1	8	1	sc
P2F10	8	1	sc
P2F11	8	1	sc
P2F12	8	1	sc
P2F2	8	1	sc
P2F3	8	1	sc
P2F4	8	1	sc
P2F5	8	1	sc
P2F6	8	1	sc
P2F7	8	1	sc
P2F8	8	1	sc
P2F9	8	1	sc
P2G1	8	1	sc
P2G10	8	1	sc
P2G11	8	1	sc
P2G12	8	1	sc
P2G2	8	1	sc
P2G3	8	1	sc
P2G4	8	1	sc
P2G5	8	1	sc
P2G6	8	1	sc
P2G7	8	1	sc
P2G8	8	1	sc
P2G9	8	1	sc
P2H1	8	1	sc
P2H10	8	1	sc
P2H11	8	1	sc
P2H12	8	1	sc
P2H2	8	1	sc
P2H3	8	1	sc
P2H4	8	1	sc
P2H5	8	1	sc
P2H6	8	1	sc
P2H7	8	1	sc
P2H8	8	1	sc
P2H9	8	1	sc
P3A1	8	1	sc
P3A10	8	1	sc
P3A11	8	1	sc
P3A12	8	1	sc
P3A2	8	1	sc
P3A3	8	1	sc
P3A4	8	1	sc
P3A5	8	1	sc
P3A6	8	1	sc
P3A7	8	1	sc
P3A8	8	1	sc
P3A9	8	1	sc
P3B1	8	1	sc
P3B10	8	1	sc
P3B11	8	1	sc
P3B12	8	1	sc
P3B2	8	1	sc
P3B3	8	1	sc
P3B4	8	1	sc
P3B5	8	1	sc
P3B6	8	1	sc
P3B7	8	1	sc
P3B8	8	1	sc
P3B9	8	1	sc
P3C1	8	1	sc
P3C10	8	1	sc
P3C11	8	1	sc
P3C12	8	1	sc
P3C2	8	1	sc
P3C3	8	1	sc
P3C4	8	1	sc
P3C5	8	1	sc
P3C6	8	1	sc
P3C7	8	1	sc
P3C8	8	1	sc
P3C9	8	1	sc
P3D1	8	1	sc
P3D10	8	1	sc
P3D11	8	1	sc
P3D12	8	1	sc
P3D2	8	1	sc
P3D3	8	1	sc
P3D4	8	1	sc
P3D5	8	1	sc
P3D6	8	1	sc
P3D7	8	1	sc
P3D8	8	1	sc
P3D9	8	1	sc
P3E1	8	1	sc
P3E10	8	1	sc
P3E11	8	1	sc
P3E12	8	1	sc
P3E2	8	1	sc
P3E3	8	1	sc
P3E4	8	1	sc
P3E5	8	1	sc
P3E6	8	1	sc
P3E7	8	1	sc
P3E8	8	1	sc
P3E9	8	1	sc
P3F1	8	1	sc
P3F10	8	1	sc
P3F11	8	1	sc
P3F12	8	1	sc
P3F2	8	1	sc
P3F3	8	1	sc
P3F4	8	1	sc
P3F5	8	1	sc
P3F6	8	1	sc
P3F7	8	1	sc
P3F8	8	1	sc
P3F9	8	1	sc
P3G1	8	1	sc
P3G10	8	1	sc
P3G11	8	1	sc
P3G12	8	1	sc
P3G2	8	1	sc
P3G3	8	1	sc
P3G4	8	1	sc
P3G5	8	1	sc
P3G6	8	1	sc
P3G7	8	1	sc
P3G8	8	1	sc
P3G9	8	1	sc
P3H1	8	1	sc
P3H10	8	1	sc
P3H11	8	1	sc
P3H12	8	1	sc
P3H2	8	1	sc
P3H3	8	1	sc
P3H4	8	1	sc
P3H5	8	1	sc
P3H6	8	1	sc
P3H7	8	1	sc
P3H8	8	1	sc
P3H9	8	1	sc
